NDC/SKU,Manufacturer,Name,Lot number,Quantity ordered,Quantity in stock,Cost,Price,Expiration date,Generic for,Created on
"69097-0846-07","Cipla USA Inc.","CYCLOBENZAPRINE HYDROCHLORIDE 10mg/1","NB240393","200","200","0.03","0.033","12/2025","","07/25/2024 2:11 PM"
"00093-3420-01","Teva Pharmaceuticals USA, Inc.","CYCLOBENZAPRINE HYDROCHLORIDE 5mg/1","100032660","200","8","0.036","0.04","03/2025","","11/21/2023 11:18 AM"
"52817-0330-10","TruPharma LLC","CYCLOBENZAPRINE HYDROCHLORIDE 5mg/1","231054H1","200","140","0.036","0.04","07/2026","","04/15/2024 11:56 AM"
"00093-3420-01","Teva Pharmaceuticals USA, Inc.","CYCLOBENZAPRINE HYDROCHLORIDE 5mg/1","100042701","10","10","0.04","0.044","01/2026","","04/11/2024 2:48 PM"
"49281-0286-10","Sanofi Pasteur Inc.","DAPTACEL 15[Lf]/.5mL; 5[Lf]/.5mL; 10ug/.5mL; 5ug/.5mL; 3ug/.5mL; 5ug/.5mL","2CA77C1","10","10","0","0","04/2025","DTaP (for ages 6 weeks to 6 years)","07/25/2024 10:31 AM"
"69918-0201-01","Amring Pharmaceuticals Inc.","DESMOPRESSIN ACETATE 0.2mg/1","X10395A","400","400","0.317","0.349","10/2026","","06/27/2024 4:52 PM"
"00054-3176-44","Hikma Pharmaceuticals USA, Inc.","Dexamethasone Intensol 1mg/mL - 30 mL in 1 BOTTLE, GLASS (0054-3176-44) ","364304A","30","28","0.997","1.097","01/2025","","05/24/2024 2:45 PM"
"00054-3176-44","Hikma Pharmaceuticals USA, Inc.","Dexamethasone Intensol 1mg/mL - 30 mL in 1 BOTTLE, GLASS (0054-3176-44) ","364304A","1","1","29.91","32.901","01/2025","","07/21/2023 11:47 AM"
"00054-3176-44","Hikma Pharmaceuticals USA, Inc.","Dexamethasone Intensol 1mg/mL - 30 mL in 1 BOTTLE, GLASS (0054-3176-44) ","464319A","30","30","0.997","1.097","05/2026","","08/22/2024 11:27 AM"
"00641-0367-25","Hikma Pharmaceuticals USA Inc.","DEXAMETHASONE SODIUM PHOSPHATE 10mg/mL","043020","25","25","1.326","1.459","04/2025","","07/17/2023 12:30 PM"
"16571-0201-06","Rising Pharma Holdings, Inc.","DICLOFENAC SODIUM 75mg/1","PUD23031","360","240","0.081","0.089","04/2026","","03/11/2024 10:56 AM"
"00527-1282-01","Lannett Company, Inc.","DICYCLOMINE HYDROCHLORIDE 20mg/1","23272775A","400","360","0.097","0.107","03/2026","","04/10/2024 10:13 AM"
"57664-0437-88","Sun Pharmaceutical Industries, Inc.","DIGOXIN 125ug/1","HAF0418A","200","200","0.065","0.072","01/2026","","08/15/2024 10:09 AM"
"68682-0368-90","Oceanside Pharmaceuticals","DILTIAZEM HYDROCHLORIDE 180mg/1","23B071P","360","180","0.335","0.369","02/2027","*extended-release capsules","02/22/2024 10:17 AM"
"68682-0368-90","Oceanside Pharmaceuticals","DILTIAZEM HYDROCHLORIDE 180mg/1","24B037P","270","270","0.426","0.469","02/2028","","07/03/2024 10:38 AM"
"68682-0008-10","Oceanside Pharmaceuticals","DILTIAZEM HYDROCHLORIDE 90mg/1","8148482","200","200","0.191","0.21","03/2027","","02/13/2024 11:01 AM"
"68682-0008-10","Oceanside Pharmaceuticals","DILTIAZEM HYDROCHLORIDE 90mg/1","8152081","300","300","0.191","0.21","10/2027","","08/08/2024 11:11 AM"
"71399-8028-01","Akron Pharma Inc.","Diphenhydramine HCl 25mg/1","AXE2203","100","100","0.018","0.02","03/2025","Benadryl","06/05/2023 5:11 PM"
"71399-8028-01","Akron Pharma Inc.","Diphenhydramine HCl 25mg/1","AXE 2203","200","200","0.018","0.02","03/2025","","06/22/2023 10:21 AM"
"29300-0139-01","Unichem Pharmaceuticals (USA), Inc.","DIVALPROEX SODIUM 250mg/1","ZDPM23024","300","300","0.113","0.124","03/2026","","10/11/2023 12:29 PM"
"29300-0140-01","Unichem Pharmaceuticals (USA), Inc.","DIVALPROEX SODIUM 500mg/1","ZDPH22089","100","100","0.076","0.084","09/2025","","04/26/2023 4:03 PM"
"29300-0140-01","Unichem Pharmaceuticals (USA), Inc.","DIVALPROEX SODIUM 500mg/1","ZDPH23162","200","200","0.118","0.13","09/2026","","02/28/2024 11:46 AM"
"65162-0993-08","Amneal Pharmaceuticals LLC","DOTTI (ESTRADIOL) 0.05mg/d","099324008A","12","12","7.988","8.787","04/2026","","08/20/2024 10:10 AM"
"65162-0995-08","Amneal Pharmaceuticals LLC","DOTTI (ESTRADIOL) 0.075mg/d","09954001A","3","3","40.27","44.297","01/2026","DOTTI","05/30/2024 1:07 PM"
"42806-0312-50","Epic Pharma, LLC","DOXYCYCLINE HYCLATE 100mg/1","24D0091V","100","70","0.215","0.237","03/2026","","06/27/2024 5:03 PM"
"23155-0135-25","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","DOXYCYCLINE 100mg/1","18036701","200","100","0.309","0.34","07/2026","","08/15/2024 10:28 AM"
"27241-0097-06","Ajanta Pharma USA Inc.","DULOXETINE HYDROCHLORIDE 20mg/1","PA22373","360","180","0.107","0.118","11/2025","","07/22/2024 2:39 PM"
"27241-0098-09","Ajanta Pharma USA Inc.","DULOXETINE HYDROCHLORIDE 30mg/1","PA07773","360","120","0.049","0.054","05/2025","*Delayed Release formulation","02/14/2024 11:07 AM"
"27241-0098-09","Ajanta Pharma USA Inc.","DULOXETINE HYDROCHLORIDE 30mg/1","DJ11962","290","170","0.118","0.13","06/2026","","09/01/2023 5:17 PM"
"68180-0296-09","Lupin Pharmaceuticals, Inc.","DULOXETINE HYDROCHLORIDE 60mg/1","G325855","360","270","0.091","0.1","07/2025","","03/06/2024 10:23 AM"
"24208-0910-55","Bausch & Lomb Incorporated","ERYTHROMYCIN 5mg/g - 1 TUBE in 1 CARTON (24208-910-55) / 3.5 g in 1 TUBE","473961","2","2","14.37","15.807","12/2026","","08/28/2024 10:39 AM"
"65862-0374-01","Aurobindo Pharma Limited","ESCITALOPRAM OXALATE 10mg/1","ED1021012-A","400","120","0.037","0.041","05/2025","","12/01/2023 2:35 PM"
"65862-0374-01","Aurobindo Pharma Limited","ESCITALOPRAM OXALATE 10mg/1","AFLB23025A","300","300","0.037","0.041","10/2027","","08/15/2024 10:11 AM"
"65862-0375-01","Aurobindo Pharma Limited","ESCITALOPRAM OXALATE 20mg/1","AFLC23044A","200","200","0.055","0.061","10/2027","","05/20/2024 2:39 PM"
"43547-0282-10","SOLCO HEALTHCARE US, LLC","ESCITALOPRAM OXALATE 20mg/1","0000084617","300","300","0.052","0.057","11/2026","","08/23/2024 10:26 AM"
"65862-0373-01","Aurobindo Pharma Limited","ESCITALOPRAM OXALATE 5mg/1","ED0523003A","200","100","0.021","0.023","01/2027","","06/13/2024 10:43 AM"
"65862-0373-01","Aurobindo Pharma Limited","ESCITALOPRAM OXALATE 5mg/1","ED0523003A","300","300","0.021","0.023","01/2027","","06/27/2024 4:53 PM"
"00093-6450-56","Teva Pharmaceuticals USA, Inc.","ESOMEPRAZOLE MAGNESIUM DIHYDRATE 20mg/1","KA23605","60","60","0.148","0.163","10/2024","","06/29/2023 10:40 AM"
"00093-6450-56","Teva Pharmaceuticals USA, Inc.","ESOMEPRAZOLE MAGNESIUM DIHYDRATE 20mg/1","KA23605","60","60","0.148","0.163","10/2024","","08/01/2023 11:23 AM"
"70377-0055-12","Biocon Pharma Inc.,","ESOMEPRAZOLE MAGNESIUM 20mg/1","ESA123027C","270","270","0.182","0.2","10/2025","","03/12/2024 3:55 PM"
"00781-7144-83","Sandoz Inc","ESTRADIOL 0.05mg/d","97004","3","3","58.06","63.866","02/2026","","08/07/2024 11:25 AM"
"00555-0899-02","Teva Pharmaceuticals USA, Inc.","ESTRADIOL 0.5mg/1","100055437","200","200","0.052","0.057","02/2026","","06/13/2024 10:45 AM"
"00555-0886-02","Teva Pharmaceuticals USA, Inc.","ESTRADIOL 1mg/1","100041150","300","100","0.084","0.092","03/2025","","09/21/2023 10:09 AM"
"42806-0088-01","EPIC PHARMA, LLC","ESTRADIOL 1mg/1","23133A","100","100","0.068","0.075","09/2026","","06/13/2024 10:42 AM"
"LB18ET","Cardinal Health","Extension tubing for urinary catheter","20231001","3","3","0.983","1.081","09/2028","","06/10/2024 11:25 AM"
"67877-0490-90","Ascend Laboratories, LLC","EZETIMIBE 10mg/1","23123419","180","46","0.086","0.095","10/2026","","03/15/2024 10:32 AM"
"67877-0490-90","Ascend Laboratories, LLC","EZETIMIBE 10mg/1","24120486","270","270","0.106","0.117","01/2027","","04/30/2024 10:47 AM"
"68462-0226-90","Glenmark Pharmaceuticals Inc., USA","EZETIMIBE 10mg/1","17240832","180","180","0.137","0.151","04/2026","","08/28/2024 11:10 AM"
"00093-8118-56","Teva Pharmaceuticals USA, Inc.","FAMCICLOVIR 250mg/1","1135D241","120","120","0.284","0.312","03/2026","","07/03/2024 10:46 AM"
"55111-0119-01","Dr.Reddy's Laboratories Limited","FAMOTIDINE 20mg/1","C2101444","200","200","0.03","0.033","12/2026","","08/23/2024 10:50 AM"
"55111-0119-01","Dr.Reddy's Laboratories Limited","FAMOTIDINE 20mg/1","C2401445","200","200","0.03","0.033","12/2026","","08/28/2024 11:08 AM"
"27241-0117-03","Ajanta Pharma USA Inc.","FENOFIBRATE 160mg/1","PA00842","270","90","0.148","0.163","12/2025","","08/10/2022 10:31 AM"
"70756-0214-90","Lifestar Pharma LLC","FENOFIBRATE 54mg/1","V33W003","540","120","0.093","0.102","05/2026","","01/09/2024 10:24 AM"
"70756-0214-90","Lifestar Pharma LLC","FENOFIBRATE 54mg/1","V33W007","360","360","0.093","0.102","08/2026","","07/18/2024 11:08 AM"
"55111-0784-30","Dr. Reddy's Laboratories Limited","FEXOFENADINE HYDROCHLORIDE 180mg/1","AT2301068","120","90","0.44","0.484","01/2025","","09/21/2023 10:08 AM"
"55111-0784-30","Dr. Reddy's Laboratories Limited","FEXOFENADINE HYDROCHLORIDE 180mg/1","AT2301297","90","90","0.44","0.484","02/2025","","02/28/2024 10:19 AM"
"67877-0455-90","Ascend Laboratories, LLC","FINASTERIDE 1mg/1","23122315","360","180","0.02","0.022","07/2026","","04/24/2024 10:32 AM"
"67877-0455-90","Ascend Laboratories, LLC","FINASTERIDE 1mg/1","23122987","270","270","0.029","0.032","08/2026","","08/23/2024 10:52 AM"
"67877-0288-90","Ascend Laboratories, LLC","FINASTERIDE 5mg/1","23122746","180","180","0.059","0.065","08/2026","","04/01/2024 11:02 AM"
"67877-0288-90","Ascend Laboratories, LLC","FINASTERIDE 5mg/1","23122745","180","180","0.059","0.065","08/2026","","08/08/2024 10:46 AM"
"X001XYL6U1","Fit Pride","Fit Pride Band Set","0000","2","2","0","0","01/2999","","08/16/2023 10:13 AM"
"57237-0005-11","Rising Pharma Holdings, Inc.","FLUCONAZOLE 150mg/1","FL1523015A","12","3","1.176","1.294","07/2027","","12/08/2023 12:11 PM"
"55111-0145-12","Dr. Reddy's Laboratories Limited","FLUCONAZOLE 150mg/1","c2403241","12","12","0.561","0.617","01/2026","","08/07/2024 11:27 AM"
"55111-0145-12","Dr. Reddy's Laboratories Limited","FLUCONAZOLE 150mg/1","C2405286","12","12","0.561","0.617","03/2026","","08/28/2024 10:38 AM"
"65862-0192-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 10mg/1","FL1022047A","600","155","0.036","0.04","11/2025","","09/18/2023 10:32 AM"
"65862-0192-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 10mg/1","FL1023038A","300","300","0.036","0.04","09/2026","","07/01/2024 10:24 AM"
"65862-0193-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 20mg/1","FJ2023147A","400","110","0.064","0.07","10/2026","","05/30/2024 1:08 PM"
"65862-0193-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 20mg/1","FJ2024022A","300","300","0.064","0.07","01/2027","","06/27/2024 4:54 PM"
"65862-0193-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 20mg/1","FJ2024022A","200","200","0.064","0.07","01/2027","","07/01/2024 11:15 AM"
"65862-0194-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 40mg/1","FK4023071A","200","100","0.061","0.067","07/2026","","02/28/2024 11:48 AM"
"65862-0194-01","Aurobindo Pharma Limited","FLUOXETINE HYDROCHLORIDE 40mg/1","FK4023102A","200","200","0.061","0.067","10/2026","","05/06/2024 10:50 AM"
"00054-3270-99","Hikma Pharmaceuticals USA Inc.","FLUTICASONE PROPIONATE 50ug/1","AC2658A","7","7","6.47","7.117","05/2026","","08/23/2024 10:39 AM"
"AS42016","Amsino","Foley catheter 16 french 30 mL balloon","186042WL","4","3","1.763","1.939","06/2028","","06/10/2024 11:17 AM"
"CIT10CCBZN","Cardinal Health","Foley insertion tray w/ 10 mL syringe","20231001","4","3","3.95","4.345","09/2026","","06/10/2024 11:21 AM"
"1-9101-59","unknown","Forearm LH Adult Blue Liner No Coating","000","1","1","0","0","12/2999","","09/20/2023 4:23 PM"
"23155-0866-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","GABAPENTIN 100mg/1","7712804A","600","500","0.025","0.028","05/2026","","08/21/2024 2:29 PM"
"70010-0109-01","Granules Pharmaceuticals Inc.","GABAPENTIN 300mg/1","9230030AA","1000","400","0.052","0.057","10/2024","","04/13/2023 9:59 AM"
"67877-0224-01","Ascend Laboratories, LLC","GABAPENTIN 400mg/1","21145282","400","400","0.072","0.079","11/2024","","08/11/2022 12:01 PM"
"31722-0166-01","Camber Pharmaceuticals, Inc.","GABAPENTIN 600mg/1","23020142","400","100","0.101","0.111","01/2025","","12/08/2023 12:06 PM"
"31722-0166-01","Camber Pharmaceuticals, Inc.","GABAPENTIN 600mg/1","23060525","500","500","0.079","0.087","05/2025","","01/04/2024 10:47 AM"
"00006-4121-02","Merck Sharp & Dohme Corp.","GARDASIL 9 30ug/.5mL; 40ug/.5mL; 60ug/.5mL; 40ug/.5mL; 20ug/.5mL; 20ug/.5mL; 20ug/.5mL; 20ug/.5mL; 20ug/.5mL","W030851","10","2","0","0","01/2025","HPV","08/08/2023 10:46 AM"
"00591-0461-01","Actavis Pharma, Inc.","GLIPIZIDE 10mg/1","100052283","300","100","0.06","0.066","03/2026","","07/11/2024 2:15 PM"
"60505-0142-00","Apotex Corp.","GLIPIZIDE 10mg/1","Tz4254","400","200","0.056","0.062","10/2026","","03/27/2024 10:22 AM"
"60505-0141-00","Apotex Corp.","GLIPIZIDE 5mg/1","TZ3852","200","200","0.037","0.041","12/2026","","03/06/2024 10:22 AM"
"60505-0141-00","Apotex Corp.","GLIPIZIDE 5mg/1","TZ3852","200","200","0.037","0.041","12/2026","","03/20/2024 10:18 AM"
"00113-1189-01","L. Perrigo Company","good sense arthritis pain (DICLOFENAC SODIUM) 10mg/g - 1 TUBE in 1 CARTON (0113-1189-01) / 100 g in 1 TUBE","179905","6","2","11.45","12.595","07/2026","","11/10/2023 10:59 AM"
"1-518A-02","DeRoyal","Grid Iron XR Metal Upright, Small","1547341","5","5","0","0","01/2999","","08/16/2023 9:31 AM"
"1-518A-02","DeRoyal","Grid Iron XR Metal Upright, Small","1557931","1","1","0","0","12/2999","","09/20/2023 2:31 PM"
"1-518A-02","DeRoyal","Grid Iron XR Metal Upright, Small","1571265","1","1","0","0","12/2999","","09/20/2023 2:32 PM"
"1-518A-02","DeRoyal","Grid Iron XR Metal Upright, Small","1504581","1","1","0","0","12/2999","","09/20/2023 2:32 PM"
"1-518A-02","DeRoyal","Grid Iron XR Metal Upright, Small","1560956","1","1","0","0","12/2999","","09/20/2023 2:33 PM"
"1-518A-04","DeRoyal","Grid Iron XR Metal Upright: Large","1570257","1","1","0","0","12/2999","","09/20/2023 2:34 PM"
"1-518A-01","DeRoyal","Grid Iron XR Metal Upright: XS","15434241","2","2","0","0","12/2999","","09/20/2023 2:19 PM"
"1-518A-01","DeRoyal","Grid Iron XR Metal Upright: XS","1380722","1","1","0","0","12/2999","","09/20/2023 2:24 PM"
"1-518A-01","DeRoyal","Grid Iron XR Metal Upright: XS","1487048","1","1","0","0","12/2999","","09/20/2023 2:24 PM"
"1-518A-01","DeRoyal","Grid Iron XR Metal Upright: XS","1422381","1","1","0","0","12/2999","","09/20/2023 2:25 PM"
"15570004","DeRoyal","Grid Iron XR Walker, Closed Heel, Metal Uprights, XS","1227817","1","1","0","0","01/2999","","08/16/2023 9:30 AM"
"15570004","DeRoyal","Grid Iron XR Walker, Closed Heel, Metal Uprights, XS","38166619","1","1","0","0","12/2999","","09/20/2023 2:20 PM"
"15570004","DeRoyal","Grid Iron XR Walker, Closed Heel, Metal Uprights, XS","31328516","1","1","0","0","12/2999","","09/20/2023 2:21 PM"
"15570004","DeRoyal","Grid Iron XR Walker, Closed Heel, Metal Uprights, XS","26544415","1","1","0","0","12/2999","","09/20/2023 2:22 PM"
"15570004","DeRoyal","Grid Iron XR Walker, Closed Heel, Metal Uprights, XS","36900119","1","1","0","0","12/2999","","09/20/2023 2:22 PM"
"68462-0731-29","Glenmark Pharmaceuticals Inc., USA","Hailey 24 Fe ","20230200","3","3","26.4","29.04","02/2025","","09/03/2024 10:12 AM"
"58160-0825-52","GlaxoSmithKline Biologicals SA","HAVRIX 720[iU]/.5mL","X2233","10","8","0","0","11/2025","Hepatitis A vaccine","04/10/2024 11:09 AM"
"5035","Siemens","Hemoglobin A1C","0717044","17","8","12.835","14.119","04/2026","","07/11/2024 12:35 PM"
"T1-CT30K","Hemosure, INC","Hemosure iFOB Fecal Occult Blood Test (FIT)","E3240723","30","18","7.132","7.845","05/2026","","08/11/2023 11:47 AM"
"69315-0155-01","Leading Pharma, LLC","HYDROCHLOROTHIAZIDE 12.5mg/1","B05724","300","100","0.03","0.033","02/2027","","04/24/2024 10:45 AM"
"69315-0155-01","Leading Pharma, LLC","HYDROCHLOROTHIAZIDE 12.5mg/1","E03724","400","400","0.03","0.033","05/2027","","07/18/2024 10:48 AM"
"29300-0128-01","Unichem Pharmaceuticals (USA), Inc.","HYDROCHLOROTHIAZIDE 25mg/1","GHYL23030","500","100","0.024","0.026","03/2026","","02/28/2024 10:35 AM"
"29300-0128-01","Unichem Pharmaceuticals (USA), Inc.","HYDROCHLOROTHIAZIDE 25mg/1","GHYL23030","400","400","0.024","0.026","03/2026","","07/18/2024 10:45 AM"
"69396-0050-01","Trifecta Pharmaceuticals Usa Llc","Hydrocortisone 1% 1g/100g - 1 TUBE in 1 BOX (69396-050-01) / 28.4 g in 1 TUBE","681123","6","3","0.96","1.056","11/2026","","06/13/2024 10:40 AM"
"45802-0004-03","Padagis Israel Pharmaceuticals Ltd","HYDROCORTISONE 25mg/g - 1 TUBE in 1 CARTON (45802-004-03) / 28 g in 1 TUBE","3HT0310","3","2","3","3.3","06/2025","","04/03/2024 10:48 AM"
"69238-1544-01","Amneal Pharmaceuticals NY LLC","HYDROXYCHLOROQUINE SULFATE 200mg/1","AM231439","400","400","0.166","0.183","07/2026","","07/22/2024 2:41 PM"
"23155-0500-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE HYDROCHLORIDE 10mg/1","220940A","100","40","0.044","0.048","10/2024","","08/01/2023 11:27 AM"
"23155-0500-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE HYDROCHLORIDE 10mg/1","20923013A","100","100","0.03","0.033","06/2025","","12/08/2023 3:42 PM"
"23155-0500-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE HYDROCHLORIDE 10mg/1","20923025A","100","100","0.044","0.048","11/2025","","02/28/2024 11:12 AM"
"42806-0160-01","Epic Pharma, LLC","Hydroxyzine Hydrochloride 25mg/1","AG230126","300","20","0.065","0.072","08/2025","","04/10/2024 9:57 AM"
"23155-0501-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE HYDROCHLORIDE 25mg/1","21023052A","600","600","0.054","0.059","09/2026","","04/24/2024 10:46 AM"
"23155-0502-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE HYDROCHLORIDE 50mg/1","21124006A","400","370","0.088","0.097","12/2026","","03/20/2024 10:18 AM"
"14539-0675-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE PAMOATE 50mg/1","220761A","100","55","0.083","0.091","08/2025","","01/03/2024 10:58 AM"
"14539-0675-01","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","HYDROXYZINE PAMOATE 50mg/1","230219A","300","300","0.083","0.091","02/2026","","05/06/2024 11:03 AM"
"49483-0602-50","TIME CAP LABORATORIES, INC","IBUPROFEN 400mg/1","131510","500","500","0.035","0.039","09/2025","","04/15/2024 12:00 PM"
"67877-0320-01","Ascend Laboratories, LLC","IBUPROFEN 600mg/1","3550301A","100","100","0.044","0.048","05/2026","","05/28/2024 11:35 AM"
"65862-0925-85","Aurobindo Pharma Limited","Incassia (NORETHINDRONE) 0.35mg/1","QDSA23001A","9","6","2.15","2.365","12/2025","","10/25/2023 11:30 AM"
"1502201","Enterix","InSure ONE","B11648","10","9","45","49.5","11/2024","","01/09/2024 9:32 AM"
"11626","Hollister","Intermittent catheter Coude 16 french ","2E136","3","3","1.95","2.145","04/2025","","06/10/2024 11:11 AM"
"11626","Hollister","Intermittent catheter Coude 16 french ","31236","2","2","1.95","2.145","08/2026","","06/10/2024 11:14 AM"
"50458-0564-01","Janssen Pharmaceuticals, Inc.","INVEGA SUSTENNA (PALIPERIDONE PALMITATE) 234mg/1.5mL","NJB4000","1","1","0","0","09/2025","","05/09/2024 11:29 AM"
"50458-0564-01","Janssen Pharmaceuticals, Inc.","INVEGA SUSTENNA (PALIPERIDONE PALMITATE) 234mg/1.5mL","NKB200","1","1","0","0","10/2025","","06/07/2024 9:23 AM"
"50458-0564-01","Janssen Pharmaceuticals, Inc.","INVEGA SUSTENNA (PALIPERIDONE PALMITATE) 234mg/1.5mL","NKB2500","1","1","0","0","10/2025","Invega","07/08/2024 5:30 PM"
"49281-0860-10","Sanofi Pasteur Inc.","IPOL 40[D'ag'U]/.5mL; 8[D'ag'U]/.5mL; 32[D'ag'U]/.5mL","W1C751M","10","6","0","0","11/2025","IPV","12/12/2023 10:20 AM"
"31722-0730-90","Camber Pharmaceuticals, Inc.","IRBESARTAN 150mg/1","IST24078","180","180","0.146","0.161","01/2027","","06/27/2024 4:56 PM"
"31722-0729-90","Camber Pharmaceuticals, Inc.","IRBESARTAN 75mg/1","IST23191","360","360","0.174","0.191","05/2026","","10/30/2023 10:23 AM"
"50742-0175-01","Ingenus Pharmaceuticals, LLC","ISOSORBIDE MONONITRATE 30mg/1","UIDTA2058A","300","200","0.052","0.057","08/2025","Isosorbide Mononitrate ER","06/13/2024 10:35 AM"
"50742-0175-01","Ingenus Pharmaceuticals, LLC","ISOSORBIDE MONONITRATE 30mg/1","UIDTA4010A","200","200","0.052","0.057","12/2026","","06/27/2024 4:57 PM"
"101010","AliveCor","KardiaMobile","00000","1","1","80","88","12/2299","","03/05/2024 2:28 PM"
"00003-0293-20","E.R. Squibb & Sons, L.L.C.","KENALOG-40 (TRIAMCINOLONE ACETONIDE) 40mg/mL","8052906","2","2","47.51","52.261","11/2025","","01/31/2024 10:26 AM"
"00093-3219-30","Teva Pharmaceuticals USA, Inc.","KETOCONAZOLE 20mg/g - 1 TUBE in 1 CARTON (0093-3219-30) / 30 g in 1 TUBE","211083","3","2","8.08","8.888","08/2025","","01/25/2024 10:39 AM"
"21922-0025-04","Encube Ethicals Private Limited","KETOCONAZOLE 20mg/g - 1 TUBE in 1 CARTON (21922-025-04) / 15 g in 1 TUBE","2BT71","3","3","7.97","8.767","10/2024","","09/27/2023 10:08 AM"
"62332-0601-25","Alembic Pharmaceuticals Inc.","KETOROLAC TROMETHAMINE 60mg/2mL","7230053","25","25","2.344","2.578","01/2025","","09/18/2023 10:31 AM"
"58160-0812-52","GlaxoSmithKline Biologicals SA","KINRIX 25[iU]/.5mL; 8ug/.5mL; 25ug/.5mL; 10[iU]/.5mL; 25[iU]/.5mL; 40[iU]/.5mL; 8[iU]/.5mL; 32[iU]/.5mL","5H95B","10","10","0","0","02/2026","","06/18/2024 10:16 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","45587749","2","1","0","0","01/2999","","08/16/2023 9:25 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","43808616","1","1","0","0","12/2999","","09/21/2023 11:51 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","42875593","1","1","0","0","12/2999","","09/21/2023 11:51 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","45265029","2","2","0","0","12/2999","","09/21/2023 11:52 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","44909460","1","1","0","0","12/2999","","09/21/2023 11:53 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","45587861","1","1","0","0","12/2999","","09/21/2023 11:53 AM"
"A143000","DeRoyal","Knee Immobilizer 19in","40394833","1","1","0","0","12/2999","","09/21/2023 11:54 AM"
"A145000","DeRoyal","Knee Immobilizer 24in","45299042","2","2","0","0","01/2999","","08/16/2023 9:26 AM"
"A145000","DeRoyal","Knee Immobilizer 24in","26025839","1","1","0","0","12/2999","","09/21/2023 11:55 AM"
"A145000","DeRoyal","Knee Immobilizer 24in","42770311","1","1","0","0","12/2999","","09/21/2023 11:55 AM"
"68180-0844-73","Lupin Pharmaceuticals, Inc.","Kurvelo ","L301877","6","5","4","4.4","10/2025","","07/25/2024 2:24 PM"
"29300-0112-01","Unichem Pharmaceuticals (USA), Inc.","LAMOTRIGINE 100mg/1","HLEM24006","200","200","0.051","0.056","12/2026","Lamictal","07/18/2024 10:55 AM"
"51672-4130-01","Taro Pharmaceuticals U.S.A., Inc.","LAMOTRIGINE 25mg/1","AD35783","300","300","0.036","0.04","12/2025","","07/11/2024 2:16 PM"
"000000","DeRoyal","Large Forearm Splint","000","1","1","0","0","12/2999","","09/20/2023 4:22 PM"
"42571-0122-90","Micro Labs Limited","LEVOCETIRIZINE DIHYDROCHLORIDE 5mg/1","VEAG125","270","270","0.069","0.076","05/2027","","06/03/2024 5:23 PM"
"31722-0722-50","Camber Pharmaceuticals, Inc.","LEVOFLOXACIN 500mg/1","LEV23030","50","50","0.132","0.145","08/2025","","04/03/2024 10:46 AM"
"00574-2042-30","Padagis US LLC","LIDOCAINE; PRILOCAINE 25mg/g; 25mg/g - 1 TUBE in 1 CARTON (0574-2042-30) / 30 g in 1 TUBE","3C11","1","1","6.85","7.535","04/2026","","07/18/2024 10:44 AM"
"43547-0421-10","Solco Healthcare LLC","HYDROCHLOROTHIAZIDE; LISINOPRIL 12.5mg/1; 20mg/1","0000079711","400","400","0.036","0.04","09/2025","","06/27/2024 4:50 PM"
"43547-0422-10","Solco Healthcare LLC","HYDROCHLOROTHIAZIDE; LISINOPRIL 25mg/1; 20mg/1","0000081281","300","300","0.037","0.041","10/2025","","02/09/2024 10:39 AM"
"68180-0980-01","Lupin Pharmaceuticals, Inc.","LISINOPRIL 10mg/1","Q302379","500","120","0.024","0.026","10/2025","","07/01/2024 10:54 AM"
"68180-0980-01","Lupin Pharmaceuticals, Inc.","LISINOPRIL 10mg/1","Q302592","400","400","0.026","0.029","11/2025","","07/30/2024 4:39 PM"
"68180-0512-01","Lupin Pharmaceuticals, Inc.","LISINOPRIL 2.5mg/1","Q301634","600","410","0.016","0.018","07/2026","","12/28/2023 12:23 PM"
